报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-Growth-1_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,17969,2.499861,44.92,39,1.151795,,,,,,1.452502,0.22543353,17.87523,1,3563,,90,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Mindset_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,8499,4.298153,36.53,8,4.56625,2,18.265,,,,1.964937,0.06015038,14.389928,,1392,,51,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook5_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,11337,1.898209,21.52,19,1.132632,,,,,,1.120226,0.27142857,17.526683,,2166,,112,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook10_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,5019,1.82108,9.14,7,1.305714,,,,,,0.956366,0.33333333,16.676629,,921,,18,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook9_RS-P1X1R3C1_gy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,10805,2.639519,28.52,19,1.501053,2,14.26,,,,1.258677,0.21590909,19.379917,,2289,,130,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook4_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,2682,2.386279,6.4,,,,,,,,1.304996,0,15.473527,,450,,20,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook8_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,162,2.407407,0.39,,,,,,,,1.851852,0,20.987654,,37,,2,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook7_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,226,2.123894,0.48,,,,,,,,1.769912,,26.99115,,65,,3,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook3_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,221,3.21267,0.71,,,,,,,,0.452489,0,23.529412,,58,,1,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook6_RS-P1X1R3C1_gy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,148,2.094595,0.31,,,,,,,,0,,18.918919,,29,,3,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook2_RS-P1X1R3C1_gy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,23614,1.859914,43.92,32,1.3725,,,,,,0.969764,0.30769231,16.113323,,4078,,233,,
2026-07-01,2026-07-13,20260706_0_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-hook1_RS-P1X1R3C1_gy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,12153,2.224142,27.03,16,1.689375,,,,,,1.341233,0.15384615,19.419073,,2570,,148,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-SocialSkills_RS-P1X1R3C3_czy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,699,1.888412,1.32,,,,,,,,1.144492,0,20.314735,,149,,1,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,11082,2.411117,26.72,13,2.055385,,,,,,1.443783,0.16455696,18.678939,,2284,,35,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning-1_RS-P1X1R3C3_czy,active,3,actions:app_custom_event.fb_mobile_purchase,18.28,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,25127,2.182513,54.84,31,1.769032,4,13.71,3,18.28,0.998541,1.309349,0.14220183,15.584829,,4319,0.01193935,91,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_czy,inactive,6,actions:app_custom_event.fb_mobile_purchase,54.24666667,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,158890,2.048461,325.48,149,2.18443,10,32.548,6,54.246667,0.54243,1.165586,0.22074074,15.428284,6,27061,0.0037762,801,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Men_ZT-SelfImprovement_RS-P1X1R3C3_czy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,185,2.702703,0.5,,,,,,,,2.702703,0,22.702703,,48,,1,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-Finance_RS-P1X1R3C3_czy,active,1,actions:app_custom_event.fb_mobile_purchase,7.18,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,2254,3.185448,7.18,1,7.18,1,7.18,1,7.18,4.828691,1.419698,0.03448276,14.551908,,364,0.04436557,10,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,10567,2.911896,30.77,10,3.077,,,,,,1.637172,0.07874016,16.201382,,1889,,40,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-SelfImprovement_RS-P1X1R3C3_czy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,11120,2.348022,26.11,15,1.740667,,,,,,1.555755,0.16853933,17.985612,1,2213,,96,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_czy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,2050,3.15122,6.46,2,3.23,,,,,,1.95122,0.1,20.341463,,455,,10,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_czy,active,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_0706_文案老形式_joy,712,2.766854,1.97,,,,,,,,0.702247,0,16.432584,,126,,1,,
